"Dataset_ID","Continent","Basin_Type","Latitude","Longitude","Area_m2","record_type"
24600,"Europe","Peat",47.58667,-3.05167,NA,"peatland"
24618,"Europe","Peat",46.30111,-1.04389,NA,"peatland"
24620,"Europe","Peat",46.08972,-0.77528,NA,"peatland"
24622,"Europe","Peat",46.08972,-0.77528,NA,"peatland"
24624,"Europe","Peat",46.08972,-0.77528,NA,"peatland"
24626,"Europe","Peat",47.5125,-2.72722,NA,"peatland"
24633,"Europe","Peat",47.53889,-2.89083,NA,"peatland"
24635,"Europe","Peat",46.54972,-1.76472,NA,"peatland"
24637,"Europe","Peat",46.54333,-1.80833,NA,"peatland"
24639,"Europe","Peat",46.66278,-1.89222,NA,"peatland"
24641,"Europe","Peat",46.61222,-1.84278,NA,"peatland"
24645,"Europe","Peat",47.3825,-1.165,NA,"peatland"
24669,"Europe","Peat",46.55,-1.81667,NA,"peatland"
24671,"Europe","Peat",46.66306,-1.91556,NA,"peatland"
24837,"Europe","Peat",48.10222,2.582778,NA,"peatland"
24840,"Europe","Peat",47.27222,-1.59583,NA,"peatland"
24842,"Europe","Peat",47.30917,-1.47694,NA,"peatland"
24844,"Europe","Peat",47.30917,-1.47694,NA,"peatland"
24846,"Europe","Peat",47.30917,-1.47694,NA,"peatland"
24852,"Europe","Peat",47.38056,-1.12333,NA,"peatland"
24857,"Europe","Peat",47.28083,-1.87611,NA,"peatland"
24859,"Europe","Peat",47.35556,-1.29361,NA,"peatland"
24861,"Europe","Peat",47.41361,-0.86056,NA,"peatland"
24863,"Europe","Peat",47.22167,-0.09583,NA,"peatland"
24865,"Europe","Peat",47.42972,-1.49444,NA,"peatland"
24867,"Europe","Peat",47.40278,-1.50278,NA,"peatland"
24869,"Europe","Peat",47.35806,-1.47861,NA,"peatland"
24871,"Europe","Peat",47.31056,-1.53417,NA,"peatland"
24900,"Europe","Peat",46.96083,4.010556,NA,"peatland"
24902,"Europe","Peat",46.9375,1.891389,NA,"peatland"
24904,"Europe","Peat",46.85222,2.376111,NA,"peatland"
24906,"Europe","Peat",47.95722,4.373056,NA,"peatland"
24929,"Europe","Peat",46.91389,5.450556,NA,"peatland"
24931,"Europe","Peat",46.78972,5.974444,NA,"peatland"
24933,"Europe","Peat",46.89056,5.700278,NA,"peatland"
24937,"Europe","Lake",46.565,5.749167,552843.2546,"large lake"
24939,"Europe","Peat",47.08028,6.6975,NA,"peatland"
24941,"Europe","Peat",46.81389,6.055278,NA,"peatland"
24944,"Europe","Lake",46.83389,6.293889,40593.79676,"small lake"
24950,"Europe","Lake",45.77722,5.561944,2756.96176,"small lake"
24952,"Europe","Peat",46.53944,5.326667,NA,"peatland"
24954,"Europe","Peat",45.30528,1.836111,NA,"peatland"
24956,"Europe","Peat",45.89306,6.768333,NA,"peatland"
24959,"Europe","Peat",45.24056,2.750278,NA,"peatland"
24964,"Europe","Peat",50.83361,2.213333,NA,"peatland"
24966,"Europe","Peat",50.83361,2.213333,NA,"peatland"
24993,"Europe","Peat",44.71611,6.449444,NA,"peatland"
24996,"Europe","Lake",45.06,5.88,1501.045926,"small lake"
25003,"Europe","Peat",47.41167,1.608889,NA,"peatland"
25007,"Europe","Peat",45.91667,0.016667,NA,"peatland"
25027,"Europe","Peat",49.11667,-0.215,NA,"peatland"
25078,"Europe","Peat",49.62528,-1.23083,NA,"peatland"
25083,"Europe","Peat",49.69278,-1.29806,NA,"peatland"
25110,"Europe","Peat",49.17333,-1.3,NA,"peatland"
25127,"Europe","Lake",49.69611,-1.86722,1414.104182,"small lake"
25163,"Europe","Lake",44.91,3.79,378663.2844,"small lake"
25186,"North America","Peat",46.6475,-53.601,NA,"peatland"
25188,"North America","Peat",46.6475,-53.601,NA,"peatland"
25213,"Europe","Peat",44.96028,2.718889,NA,"peatland"
25217,"Europe","Peat",45.54083,2.344444,NA,"peatland"
25221,"Europe","Peat",45.69639,2.337222,NA,"peatland"
25230,"Europe","Peat",45.64917,2.310556,NA,"peatland"
25232,"Europe","Peat",45.07611,2.5175,NA,"peatland"
25234,"Europe","Peat",45.60194,2.1025,NA,"peatland"
25268,"North America","Peat",46.6475,-53.601,NA,"peatland"
25273,"Europe","Lake",44.7,5.81,6525.903325,"small lake"
25275,"Europe","Peat",45.07083,5.256667,NA,"peatland"
25283,"Europe","Peat",48.04833,6.951389,NA,"peatland"
25285,"Europe","Lake",45.79,5.29,20894.32881,"small lake"
25287,"Europe","Peat",49.06667,-0.71667,NA,"peatland"
25289,"Europe","Lake",45.09,5.85,2841.614269,"small lake"
25308,"Europe","Peat",46.95639,4.01,NA,"peatland"
25318,"Europe","Peat",47.2275,4.035278,NA,"peatland"
25320,"Europe","Peat",47.01194,4.05,NA,"peatland"
25340,"North America","Peat",33.35003,-79.3447,NA,"peatland"
25344,"Europe","Peat",47.20333,4.048611,NA,"peatland"
25349,"North America","Peat",33.34001,-79.3417,NA,"peatland"
25368,"North America","Peat",33.42282,-79.208,NA,"peatland"
25370,"Europe","Peat",47.31778,4.122778,NA,"peatland"
25372,"Europe","Peat",47.26194,4.079167,NA,"peatland"
25382,"Europe","Peat",46.8925,4.034167,NA,"peatland"
25384,"Europe","Peat",47.21472,4.106944,NA,"peatland"
25386,"Europe","Peat",47.27361,4.018611,NA,"peatland"
25400,"Europe","Lake",45.85667,6.172222,25603896.43,"large lake"
25404,"Europe","Peat",49.15944,-0.05944,NA,"peatland"
25406,"Europe","Peat",49.18361,-0.16806,NA,"peatland"
25408,"Europe","Peat",49.18361,-0.16806,NA,"peatland"
25410,"Europe","Peat",49.23333,-0.16667,NA,"peatland"
25414,"Europe","Peat",49.38194,-1.36056,NA,"peatland"
25427,"Europe","Peat",48.92972,-1.54306,NA,"peatland"
25455,"Europe","Peat",44.45,3.6,NA,"peatland"
25466,"Europe","Peat",44.43333,3.6,NA,"peatland"
25468,"Europe","Peat",43.56667,2.966667,NA,"peatland"
25470,"Europe","Peat",43.57528,2.785556,NA,"peatland"
25472,"Europe","Peat",45.06889,5.806667,NA,"peatland"
25477,"Europe","Lake",45.07,5.85,2686.861994,"small lake"
25481,"Europe","Lake",45.05611,5.885278,NA,"small lake"
25514,"North America","Lake",25.26704,-80.9064,NA,"small lake"
25551,"North America","Peat",37.47311,-108.16,NA,"peatland"
25763,"Europe","Peat",47.02399,11.80367,NA,"peatland"
25765,"Europe","Peat",46.99602,11.14069,NA,"peatland"
25767,"Europe","Peat",47.08333,11.16667,NA,"peatland"
25769,"Europe","Peat",47.02333,11.80185,NA,"peatland"
25776,"Europe","Peat",47.30543,12.41723,NA,"peatland"
25786,"North America","Peat",17.94154,-88.3619,NA,"peatland"
25837,"Europe","Peat",47.24306,12.13889,NA,"peatland"
25839,"Europe","Peat",47.07675,11.40924,NA,"peatland"
25843,"Europe","Peat",46.90139,11.04444,NA,"peatland"
25845,"Europe","Peat",46.84756,11.01477,NA,"peatland"
26315,"North America","Lake",48.4586,-123.513,110239.115,"small lake"
26319,"Europe","Peat",47.21091,11.00155,NA,"peatland"
26321,"Europe","Peat",46.9375,11.01528,NA,"peatland"
26425,"Europe","Peat",47.46285,12.35937,NA,"peatland"
26429,"Europe","Peat",47.64907,12.27363,NA,"peatland"
26431,"Europe","Lake",47.8042,13.27474,2256027.774,"large lake"
26433,"Europe","Peat",46.96549,12.80864,NA,"peatland"
26435,"Europe","Lake",47.61312,12.17047,23806.4313,"small lake"
26437,"Europe","Peat",47.34167,11.125,NA,"peatland"
26439,"Europe","Lake",47.29167,10.97639,24136.64669,"small lake"
26442,"Europe","Lake",47.51,12.09,9769.818117,"small lake"
26446,"Europe","Peat",47.16688,12.65191,NA,"peatland"
26448,"Europe","Lake",46.87,10.47833,28299.20511,"small lake"
26499,"Europe","Peat",46.84674,11.01668,NA,"peatland"
26501,"Europe","Peat",47.24028,11.42083,NA,"peatland"
26505,"Europe","Peat",47.50881,12.04266,NA,"peatland"
26507,"Europe","Peat",47.42246,11.87577,NA,"peatland"
26510,"Europe","Peat",47.65848,12.30101,NA,"peatland"
26512,"Europe","Peat",47.65848,12.30101,NA,"peatland"
26514,"Europe","Peat",47.65848,12.30101,NA,"peatland"
26516,"Europe","Peat",47.65848,12.30101,NA,"peatland"
26518,"Europe","Peat",47.65848,12.30101,NA,"peatland"
26520,"Europe","Lake",46.17667,7.093611,172928.2992,"small lake"
26565,"Asia","Lake",68.24656,65.79111,1975322.777,"large lake"
26572,"North America","Peat",40.7075,-74.4645,NA,"peatland"
26608,"Europe","Lake",40.93124,15.60519,NA,"small lake"
29236,"Europe","Peat",46.56667,6.173611,NA,"peatland"
30184,"Asia","Lake",48.802645,87.07225,45893399.67,"large lake"
32260,"Europe","Lake",46.23378,7.01911,765.804403,"small lake"
39364,"Europe","Lake",56.29419,14.98368,28704.66956,"small lake"
39749,"North America","Lake",43.82946,-74.8489,4866083.478,"large lake"
40111,"North America","Lake",34.16759,-80.7762,291365.4666,"small lake"
40168,"North America","Peat",40.21667,-84.6894,NA,"peatland"
40317,"Europe","Lake",46.23376,7.33926,24670.9273,"small lake"
40321,"Europe","Lake",46.23376,7.33926,NA,"small lake"
40439,"Europe","Peat",46.49687,6.12357,NA,"peatland"
40441,"Europe","Peat",46.46832,6.1616,NA,"peatland"
40443,"Europe","Peat",46.46832,6.1616,NA,"peatland"
40448,"Europe","Peat",46.81088,10.26429,NA,"peatland"
40450,"Europe","Lake",47.01867,6.99669,40814.82922,"small lake"
40452,"Europe","Peat",47.24056,7.05,NA,"peatland"
40454,"Europe","Lake",46.94,7.12,22628041.51,"large lake"
40484,"Europe","Peat",47.24056,7.05,NA,"peatland"
40486,"Europe","Lake",46.935,7.123611,21854459.4,"large lake"
40490,"Europe","Peat",47.28833,7.131944,NA,"peatland"
40519,"North America","Peat",41.37585,-70.5686,NA,"peatland"
40566,"Europe","Lake",47.61335,8.83094,NA,"small lake"
40569,"Europe","Lake",47.20675,8.46541,5048.548204,"small lake"
40572,"Europe","Lake",47.07556,8.325556,NA,"small lake"
40574,"Europe","Lake",47.07556,8.325556,NA,"small lake"
40577,"Europe","Lake",46.445,8.518333,NA,"small lake"
40579,"Europe","Lake",46.445,8.518333,NA,"small lake"
40582,"Europe","Lake",46.38972,8.025556,NA,"small lake"
40584,"Europe","Peat",46.38393,7.97933,NA,"peatland"
40627,"Europe","Lake",46.65,7.54,29775.44655,"small lake"
40634,"Europe","Peat",46.42833,7.403056,NA,"peatland"
40642,"Europe","Lake",46.31167,7.479167,4245.231618,"small lake"
40666,"North America","Peat",41.43051,-70.6957,NA,"peatland"
40791,"North America","Lake",42.37778,-73.0948,24219.10095,"small lake"
40793,"North America","Lake",42.62006,-71.0868,15290.99344,"small lake"
40795,"North America","Lake",41.32786,-70.7927,14430.69503,"small lake"
40797,"North America","Lake",41.472,-70.7657,10641.06443,"small lake"
40799,"North America","Lake",42.08019,-71.9611,88608.51678,"small lake"
40803,"North America","Lake",41.56404,-70.6357,11839.25868,"small lake"
40844,"North America","Lake",41.88215,-71.012,19445.47698,"small lake"
40861,"North America","Lake",42.56705,-72.5108,NA,"small lake"
40875,"North America","Lake",42.10864,-73.4372,63521.89434,"small lake"
40914,"North America","Lake",44.36035,-72.373,70819.10725,"small lake"
40949,"Europe","Peat",47.74371,8.90281,NA,"peatland"
40951,"Europe","Peat",47.80567,8.20015,NA,"peatland"
40955,"Europe","Lake",47.16969,7.66823,196514.6687,"small lake"
40958,"Europe","Peat",47.775,8.9788,NA,"peatland"
40963,"Europe","Lake",47.02139,7.483806,282507.7207,"small lake"
40976,"North America","Peat",49.7887,-125.127,NA,"peatland"
40990,"Asia","Lake",52.78333,108.1333,65933338.91,"large lake"
40992,"North America","Lake",43.2917,-71.1781,118368.1549,"small lake"
40997,"Asia","Lake",53.95472,108.9136,32101204308,"large lake"
40999,"Europe","Lake",47.76786,8.92963,10739.89082,"small lake"
41018,"North America","Lake",41.43305,-70.6646,46002.77934,"small lake"
41025,"North America","Lake",42.48245,-70.8823,14671.93186,"small lake"
41027,"North America","Lake",41.8545,-73.2566,155962.6561,"small lake"
41030,"North America","Peat",37.99026,-122.79,NA,"peatland"
41034,"North America","Peat",40.80042,-110.361,NA,"peatland"
41098,"Asia","Lake",65.2891,126.7699,18467595.32,"large lake"
41138,"Asia","Lake",65.2891,126.7699,NA,"small lake"
41140,"North America","Lake",40.881,-106.734,25723.22367,"small lake"
41146,"North America","Lake",40.54546,-106.682,19050.91227,"small lake"
41159,"North America","Lake",40.89614,-106.682,NA,"small lake"
41161,"North America","Lake",40.78184,-106.679,37342.86369,"small lake"
41163,"North America","Lake",40.50467,-106.608,40073.33114,"small lake"
41171,"North America","Lake",40.77162,-106.828,42035.93986,"small lake"
41177,"Europe","Peat",53.73333,-0.06667,NA,"peatland"
41183,"North America","Lake",60.25849,-149.908,382108.4258,"small lake"
41187,"Europe","Peat",51.93167,-4.71833,NA,"peatland"
41189,"Europe","Peat",56.38444,-5.50139,NA,"peatland"
41201,"Europe","Peat",51.01722,-3.51722,NA,"peatland"
41203,"Europe","Peat",51.87611,-4.94194,NA,"peatland"
41205,"Europe","Peat",35.935,14.41444,NA,"peatland"
41212,"Europe","Peat",51.49222,0.2225,NA,"peatland"
